	Joy	Anger	Sadness	Fear	Disgust	Average
1	0.8441	0.7958	0.787	0.811	0.652	0.778
2	0.8505	0.7771	0.8365	0.8503	0.6212	0.7871
3	0.7872	0.745	0.816	0.8101	0.6213	0.7559
4	0.7878	0.7622	0.755	0.8499	0.7726	0.7855
5	0.788	0.734	0.8226	0.8577	0.5384	0.7481
6	0.8447	0.8185	0.8026	0.8164	0.6396	0.7844
7	0.7707	0.6285	0.7943	0.8264	0.5919	0.7223
8	0.7484	0.6994	0.8008	0.7881	0.7227	0.7519
9	0.839	0.7329	0.8054	0.9073	0.5536	0.7676
10	0.8566	0.7323	0.7987	0.8493	0.6396	0.7753
SD	0.0392	0.0531	0.0219	0.0337	0.0708	0.0437
Average	0.8117	0.7426	0.8019	0.8367	0.6353	0.7656
