	be2vad_baseline	be2vad_reference_LM	be2vad_Reference_KNN	be2vad_my_model	vad2be_baseline	vad2be_reference_LM	vad2be_Reference_KNN	vad2be_my_model
en_1	0.6852	0.8407	0.8397	0.8537	0.8183	0.8437	0.8681	0.8775
en_2	0.7408	0.8269	0.8278	0.843	0.8206	0.8286	0.8518	0.858
es_1	0.7087	0.8562	0.8547	0.8702	0.775	0.8041	0.8489	0.8531
es_2	0.6001	0.8233	0.8277	0.8446	0.7966	0.8631	0.8824	0.8879
es_3	0.7126	0.7992	0.7961	0.804	0.7429	0.7764	0.82	0.8255
de_1	0.7575	0.8186	0.8267	0.8371	0.7013	0.6691	0.6984	0.7119
pl_1	0.6808	0.858	0.8697	0.8758	0.7074	0.844	0.8483	0.8547
pl_2	0.6193	0.8027	0.8138	0.8259	0.697	0.8195	0.834	0.8385
Average	0.688125	0.8281999999999999	0.8320249999999999	0.8442875	0.7573875	0.8060625	0.8314875000000002	0.8383875000000001

